Country_ID,Country_Name,Country_Abbrev,Confederation
0,Abkhazia,abkh,
1,Afghanistan,afg,
2,Akrotiri and Dhekelia,akr_a_dhe,
3,Albania,alb,
4,Algeria,dza,
5,American Samoa,asm,
6,Andorra,and,
7,Angola,ago,
8,Anguilla,aia,
9,Antarctica,ata,
10,Antigua and Barbuda,atg,
11,Argentina,arg,
12,Armenia,arm,
13,Aruba,abw,
14,Australia,aus,
15,Austria,aut,
16,Azerbaijan,aze,
17,Bahamas,bhs,
18,Bahrain,bhr,
19,Bangladesh,bgd,
20,Barbados,brb,
21,Belarus,blr,
22,Belgium,bel,
23,Belize,blz,
24,Benin,ben,
25,Bermuda,bmu,
26,Bhutan,btn,
27,Bolivia,bol,
28,Bosnia and Herzegovina,bih,
29,Botswana,bwa,
30,Bouvet Island,bouisl,
31,Brazil,bra,
32,British Indian Ocean Territory,iot,
33,British Virgin Islands,vgb,
34,Brunei,brn,
35,Bulgaria,bgr,
36,Burkina Faso,bfa,
37,Burundi,bdi,
38,Cambodia,khm,
39,Cameroon,cmr,
40,Canada,can,
41,Cape Verde,cpv,
42,Cayman Islands,cym,
43,Central African Republic,caf,
44,Chad,tcd,
45,Channel Islands,chanisl,
46,Chile,chl,
47,China,chn,
48,Christmas Island,cxr,
49,Clipperton,fra_clipperton,
50,Cocos Island,cck,
51,Colombia,col,
52,Comoros,com,
53,"Congo, Dem. Rep.",cod,
54,"Congo, Rep.",cog,
55,Cook Is,cok,
56,Costa Rica,cri,
57,Cote d'Ivoire,civ,
58,Croatia,hrv,
59,Cuba,cub,
60,Cura??ao,nld_curacao,
61,Cyprus,cyp,
62,Czech Republic,cze,
63,Czechoslovakia,cheslo,
64,Denmark,dnk,
65,Djibouti,dji,
66,Dominica,dma,
67,Dominican Republic,dom,
68,East Germany,deu_east,
69,Ecuador,ecu,
70,Egypt,egy,
71,El Salvador,slv,
72,England,eng,
73,Equatorial Guinea,gnq,
74,Eritrea,eri,
75,Eritrea and Ethiopia,eri_a_eth,
76,Estonia,est,
77,Ethiopia,eth,
78,Faeroe Islands,fro,
79,Falkland Is (Malvinas),flk,
80,Fiji,fji,
81,Finland,fin,
82,France,fra,
83,French Guiana,guf,
84,French Polynesia,pyf,
85,French Southern and Antarctic Lands,fra_antarc,
86,Gabon,gab,
87,Gambia,gmb,
88,Gaza Strip,pse_gaza,
89,Georgia,geo,
90,Germany,deu,
91,Ghana,gha,
92,Gibraltar,gib,
93,Greece,grc,
94,Greenland,grl,
95,Grenada,grd,
96,Guadeloupe,glp,
97,Guam,gum,
98,Guatemala,gtm,
99,Guernsey,gbg,
100,Guinea,gin,
101,Guinea-Bissau,gnb,
102,Guyana,guy,
103,Haiti,hti,
104,Heard and McDonald Islands,heard_a_mcd,
105,Holy See,hos,
106,Honduras,hnd,
107,"Hong Kong, China",hkg,
108,Hungary,hun,
109,Iceland,isl,
110,India,ind,
111,Indonesia,idn,
112,Iran,irn,
113,Iraq,irq,
114,Ireland,irl,
115,Isle of Man,gbm,
116,Israel,isr,
117,Italy,ita,
118,Ivory Coast,iv_cst,
119,Jamaica,jam,
120,Japan,jpn,
121,Jersey,jey,
122,Jordan,jor,
123,Kazakhstan,kaz,
124,Kenya,ken,
125,Kiribati,kir,
126,Korea Republic,rok,
127,Kosovo,kos,
128,Kuwait,kwt,
129,Kyrgyz Republic,kgz,
130,Lao,lao,
131,Latvia,lva,
132,Lebanon,lbn,
133,Lesotho,lso,
134,Liberia,lbr,
135,Libya,lby,
136,Liechtenstein,lie,
137,Lithuania,ltu,
138,Luxembourg,lux,
139,"Macao, China",mac,
140,"Macedonia, FYR",mkd,
141,Madagascar,mdg,
142,Malawi,mwi,
143,Malaysia,mys,
144,Maldives,mdv,
145,Mali,mli,
146,Malta,mlt,
147,Marshall Islands,mhl,
148,Martinique,mtq,
149,Mauritania,mrt,
150,Mauritius,mus,
151,Mayotte,myt,
152,Mexico,mex,
153,"Micronesia, Fed. Sts.",fsm,
154,Moldova,mda,
155,Monaco,mco,
156,Mongolia,mng,
157,Montenegro,mne,
158,Montserrat,msr,
159,Morocco,mar,
160,Mozambique,moz,
161,Myanmar,mmr,
162,Namibia,nam,
163,Nauru,nru,
164,Nepal,npl,
165,Netherlands,nld,
166,Netherlands Antilles,ant,
167,New Caledonia,ncl,
168,New Zealand,nzl,
169,Ngorno-Karabakh,ngokar,
170,Nicaragua,nic,
171,Niger,ner,
172,Nigeria,nga,
173,Niue,niu,
174,Norfolk Island,nfk,
175,North Korea,prk,
176,North Yemen (former),yem_north,
177,Northern Cyprus,cyp_nor,
178,Northern Mariana Islands,mnp,
179,Northern Marianas,north_mar,
180,Norway,nor,
181,Oman,omn,
182,Pakistan,pak,
183,Palau,plw,
184,Palestine,pse,
185,Panama,pan,
186,Papua New Guinea,png,
187,Paraguay,pry,
188,Peru,per,
189,Philippines,phl,
190,Pitcairn,pcn,
191,Poland,pol,
192,Portugal,prt,
193,Puerto Rico,pri,
194,Qatar,qat,
195,Reunion,reu,
196,Romania,rou,
197,Russia,rus,
198,Rwanda,rwa,
199,Samoa,wsm,
200,San Marino,smr,
201,Sao Tome and Principe,stp,
202,Saudi Arabia,sau,
203,Senegal,sen,
204,Serbia,srb,
205,Serbia and Montenegro,scg,
206,Serbia excluding Kosovo,scg_ex_kos,
207,Seychelles,syc,
208,Sierra Leone,sle,
209,Singapore,sgp,
210,Sint Maarten (Dutch part),sxm,
211,Slovak Republic,svk,
212,Slovenia,svn,
213,Solomon Islands,slb,
214,Somalia,som,
