Name,Mins,Special Type,Match ID
Neymar , 29',,1
Neymar , 71' ,PENALTY,1
Oscar , 90+1',,1
Marcelo , 11' ,OWN_GOAL,1
Peralta , 61',,2
Alonso , 27' ,PENALTY,3
Van Persie, 44',,3
Van Persie, 72',,3
Robben , 53',,3
Robben , 80',,3
De Vrij , 65',,3
Sánchez , 12',,4
Valdivia , 14',,4
Beausejour , 90+2',,4
Cahill , 35',,4
Armero , 5',,5
Gutiérrez , 58',,5
Rodríguez , 90+3',,5
Bony , 64',,6
Gervinho , 66',,6
Honda , 16',,6
Cavani , 24' ,PENALTY,7
Campbell , 54',,7
Duarte , 57',,7
Ureña , 84',,7
Sturridge , 37',,8
Mandžuki? , 61',,8
Marchisio , 35',,8
Balotelli , 50',,8
Mehmedi , 48',,9
Seferovi? , 90+3',,9
E. Valencia, 22',,9
Benzema , 45' ,PENALTY,10
Benzema , 72',,10
Valladares , 48' ,OWN_GOAL,10
Kolašinac , 3' ,OWN_GOAL,11
Messi , 65',,11
Ibiševi? , 84',,11
Müller , 12' ,PENALTY,13
Müller , 45+1',,13
Müller , 78',,13
Hummels , 32',,13
A. Ayew, 82',,14
Dempsey , 1',,14
Brooks , 86',,14
Fellaini , 70',,15
Mertens , 80',,15
Feghouli , 25' ,PENALTY,15
Kerzhakov , 74',,16
Lee Keun-ho, 68',,16
Oli? , 11',,18
Periši? , 48',,18
Mandžuki? , 73',,18
Vargas , 20',,19
Aránguiz , 43',,19
Cahill , 21',,20
Jedinak , 54' ,PENALTY,20
Robben , 20',,20
Van Persie, 58',,20
Depay , 68',,20
Rodríguez , 64',,21
Quintero , 70',,21
Gervinho , 73',,21
Suárez , 39',,23
Suárez , 85',,23
Rooney , 75',,23
Ruiz , 44',,24
Džemaili , 81',,25
Xhaka , 87',,25
Giroud , 17',,25
Matuidi , 18',,25
Valbuena , 40',,25
Benzema , 67',,25
Sissoko , 73',,25
Costly , 31',,26
E. Valencia, 34',,26
E. Valencia, 65',,26
Messi , 90+1',,27
Odemwingie , 29',,28
Götze , 51',,29
Klose , 71',,29
A. Ayew, 54',,29
Gyan , 63',,29
Jones , 64',,30
Dempsey , 81',,30
Nani , 5',,30
Varela , 90+5',,30
Origi , 88',,31
Son Heung-min, 50',,32
Koo Ja-cheol, 72',,32
Slimani , 26',,32
Halliche , 28',,32
Djabou , 38',,32
Brahimi , 62',,32
Matip , 26',,33
Neymar , 17',,33
Neymar , 35',,33
Fred , 49',,33
Fernandinho , 84',,33
Periši? , 87',,34
Márquez , 72',,34
Guardado , 75',,34
Hernández , 82',,34
Villa , 36',,35
Torres , 69',,35
Mata , 82',,35
Fer ,77',,36
Depay , 90+2',,36
Okazaki , 45+1',,37
Cuadrado , 17' ,PENALTY,37
Martínez , 55',,37
Martínez , 82',,37
Rodríguez , 90',,37
Samaris , 42',,38
Samaras , 90+3' ,PENALTY,38
Bony , 74',,38
Godín , 81',,39
Shaqiri , 6',,41
Shaqiri , 31',,41
Shaqiri , 71',,41
Musa , 4',,43
Musa , 47',,43
Messi , 3',,43
Messi , 45+1',,43
Rojo , 50',,43
Džeko , 23',,44
Pjani? , 59',,44
Vršajevi? , 83',,44
Ghoochannejhad , 82',,44
Müller , 55',,45
Boye , 31' ,OWN_GOAL,46
Ronaldo , 80',,46
Gyan , 57',,46
Vertonghen , 78',,47
Slimani , 60',,48
Kokorin , 6',,48
David Luiz,18',,49
Sánchez , 32',,49
Rodríguez , 28',,50
Rodríguez , 50',,50
Sneijder , 88',,51
Huntelaar , 90+4' ,PENALTY,51
Dos Santos, 48',,51
Ruiz , 52',,52
Papastathopoulos , 90+1',,52
Pogba , 79',,53
Yobo , 90+2' ,OWN_GOAL,53
Schürrle , 92',,54
Özil , 120',,54
Djabou , 120+1',,54
Di María, 118',,55
De Bruyne, 93',,56
Lukaku , 105',,56
Green , 107',,56
Hummels , 13',,57
Thiago Silva,7',,58
David Luiz ,69',,58
Rodríguez , 80' ,PENALTY,58
Higuaín , 8',,59
Oscar , 90',,61
Müller , 11',,61
Klose , 23',,61
Kroos , 24',,61
Kroos , 26',,61
Khedira , 29',,61
Schürrle , 69',,61
Schürrle , 79',,61
Van Persie, 3' ,PENALTY,63
Blind , 17',,63
Wijnaldum , 90+1',,63
Götze , 113',,64
