Match_ID,Day,Date,Time,Team1_country,Team2_country,Stage,Arena_ID,Team1_Score,Team2_Score,Team1_Shootout,Team2_Shootout
1,Thu,12-Jun-14,17:00,Brazil,Croatia,Group A,4,3,1,,
2,Fri,13-Jun-14,13:00,Mexico,Cameroon,Group A,3,1,0,,
3,Fri,13-Jun-14,16:00,Spain,Netherlands,Group B,5,1,5,,
4,Fri,13-Jun-14,18:00,Chile,Australia,Group B,6,3,1,,
5,Sat,14-Jun-14,13:00,Colombia,Greece,Group C,11,3,0,,
6,Sat,14-Jun-14,22:00,Côte d'Ivoire,Japan,Group C,7,2,1,,
7,Sat,14-Jun-14,16:00,Uruguay,Costa Rica,Group D,9,1,3,,
8,Sat,14-Jun-14,18:00,England,Italy,Group D,1,1,2,,
9,Sun,15-Jun-14,13:00,Switzerland,Ecuador,Group E,12,2,1,,
10,Sun,15-Jun-14,16:00,France,Honduras,Group E,8,3,0,,
11,Sun,15-Jun-14,19:00,Argentina,Bosnia-Herzegovina,Group F,10,2,1,,
12,Mon,16-Jun-14,16:00,Iran,Nigeria,Group F,2,0,0,,
13,Mon,16-Jun-14,13:00,Germany,Portugal,Group G,5,4,0,,
14,Mon,16-Jun-14,19:00,Ghana,USA,Group G,3,1,2,,
15,Tue,17-Jun-14,13:00,Belgium,Algeria,Group H,11,2,1,,
16,Tue,17-Jun-14,18:00,Russia,Korea Republic,Group H,6,1,1,,
17,Tue,17-Jun-14,16:00,Brazil,Mexico,Group A,9,0,0,,
18,Wed,18-Jun-14,18:00,Cameroon,Croatia,Group A,1,0,4,,
19,Wed,18-Jun-14,16:00,Spain,Chile,Group B,10,0,2,,
20,Wed,18-Jun-14,13:00,Australia,Netherlands,Group B,8,2,3,,
21,Thu,19-Jun-14,13:00,Colombia,Côte d'Ivoire,Group C,12,2,1,,
22,Thu,19-Jun-14,19:00,Japan,Greece,Group C,3,0,0,,
23,Thu,19-Jun-14,16:00,Uruguay,England,Group D,4,2,1,,
24,Fri,20-Jun-14,13:00,Italy,Costa Rica,Group D,7,0,1,,
25,Fri,20-Jun-14,16:00,Switzerland,France,Group E,5,2,5,,
26,Fri,20-Jun-14,19:00,Honduras,Ecuador,Group E,2,1,2,,
27,Sat,21-Jun-14,13:00,Argentina,Iran,Group F,11,1,0,,
28,Sat,21-Jun-14,18:00,Nigeria,Bosnia-Herzegovina,Group F,6,1,0,,
29,Sat,21-Jun-14,16:00,Germany,Ghana,Group G,9,2,2,,
30,Sun,22-Jun-14,18:00,USA,Portugal,Group G,1,2,2,,
31,Sun,22-Jun-14,13:00,Belgium,Russia,Group H,10,1,0,,
32,Sun,22-Jun-14,16:00,Korea Republic,Algeria,Group H,8,2,4,,
33,Mon,23-Jun-14,17:00,Cameroon,Brazil,Group A,12,1,4,,
34,Mon,23-Jun-14,17:00,Croatia,Mexico,Group A,7,1,3,,
35,Mon,23-Jun-14,13:00,Australia,Spain,Group B,2,0,3,,
36,Mon,23-Jun-14,13:00,Netherlands,Chile,Group B,4,2,0,,
37,Tue,24-Jun-14,16:00,Japan,Colombia,Group C,6,1,4,,
38,Tue,24-Jun-14,17:00,Greece,Côte d'Ivoire,Group C,9,2,1,,
39,Tue,24-Jun-14,13:00,Italy,Uruguay,Group D,3,0,1,,
40,Tue,24-Jun-14,13:00,Costa Rica,England,Group D,11,0,0,,
41,Wed,25-Jun-14,16:00,Honduras,Switzerland,Group E,1,0,3,,
42,Wed,25-Jun-14,17:00,Ecuador,France,Group E,10,0,0,,
43,Wed,25-Jun-14,13:00,Nigeria,Argentina,Group F,8,2,3,,
44,Wed,25-Jun-14,13:00,Bosnia-Herzegovina,Iran,Group F,5,3,1,,
45,Thu,26-Jun-14,13:00,USA,Germany,Group G,7,0,1,,
46,Thu,26-Jun-14,13:00,Portugal,Ghana,Group G,12,2,1,,
47,Thu,26-Jun-14,17:00,Korea Republic,Belgium,Group H,4,0,1,,
48,Thu,26-Jun-14,17:00,Algeria,Russia,Group H,2,1,1,,
49,Fri,28-Jun-14,13:00,Brazil,Chile,Round of 16,11,1,1,3,2
50,Fri,28-Jun-14,17:00,Colombia,Uruguay,Round of 16,10,2,0,,
51,Sat,29-Jun-14,13:00,Netherlands,Mexico,Round of 16,9,2,1,,
52,Sat,29-Jun-14,17:00,Costa Rica,Greece,Round of 16,7,1,1,5,3
53,Sun,30-Jun-14,13:00,France,Nigeria,Round of 16,12,2,0,,
54,Sun,30-Jun-14,17:00,Germany,Algeria,Round of 16,8,2,1,,
55,Mon,1-Jul-14,13:00,Argentina,Switzerland,Round of 16,4,1,0,,
56,Mon,1-Jul-14,17:00,Belgium,USA,Round of 16,5,2,1,,
57,Fri,4-Jul-14,13:00,France,Germany,Quarter-finals,10,0,1,,
58,Fri,4-Jul-14,17:00,Brazil,Colombia,Quarter-finals,9,2,1,,
59,Sat,5-Jul-14,13:00,Argentina,Belgium,Quarter-finals,12,1,0,4,3
60,Sat,5-Jul-14,17:00,Netherlands,Costa Rica,Quarter-finals,5,0,0,,
61,Tue,8-Jul-14,17:00,Brazil,Germany,Semi-finals,11,1,7,,
62,Wed,9-Jul-14,17:00,Netherlands,Argentina,Semi-finals,4,0,0,2,4
63,Sat,12-Jul-14,17:00,Brazil,Netherlands,Third place,12,0,3,,
64,Sun,13-Jul-14,16:00,Germany,Argentina,Final,10,1,0,,
