Group_Name,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
A,1,Brazil,3,2,1,0,7,2,5,7
A,2,Mexico,3,2,1,0,4,1,3,7
A,3,Croatia,3,1,0,2,6,6,0,3
A,4,Cameroon,3,0,0,3,1,9,-8,0
B,1,Netherlands,3,3,0,0,10,3,7,9
B,2,Chile,3,2,0,1,5,3,2,6
B,3,Spain,3,1,0,2,4,7,-3,3
B,4,Australia,3,0,0,3,3,9,-6,0
C,1,Colombia,3,3,0,0,9,2,7,9
C,2,Greece,3,1,1,1,2,4,-2,4
C,3,Côte d'Ivoire,3,1,0,2,4,5,-1,3
C,4,Japan,3,0,1,2,2,6,-4,1
D,1,Costa Rica,3,2,1,0,4,1,3,7
D,2,Uruguay,3,2,0,1,4,4,0,6
D,3,Italy,3,1,0,2,2,3,-1,3
D,4,England,3,0,1,2,2,4,-2,1
E,1,France,3,2,1,0,8,2,6,7
E,2,Switzerland,3,2,0,1,7,6,1,6
E,3,Ecuador,3,1,1,1,3,3,0,4
E,4,Honduras,3,0,0,3,1,8,-7,0
F,1,Argentina,3,3,0,0,6,3,3,9
F,2,Nigeria,3,1,1,1,3,3,0,4
F,3,Bosnia-Herzegovina,3,1,0,2,4,4,0,3
F,4,Iran,3,0,1,2,1,4,-3,1
G,1,Germany,3,2,1,0,7,2,5,7
G,2,United States,3,1,1,1,4,4,0,4
G,3,Portugal,3,1,1,1,4,7,-3,4
G,4,Ghana,3,0,1,2,4,6,-2,1
H,1,Belgium,3,3,0,0,4,1,3,9
H,2,Algeria,3,1,1,1,6,5,1,4
H,3,Russia,3,0,2,1,2,3,-1,2
H,4,Korea Republic,3,0,1,2,3,6,-3,1
