Name ,Birthday_Year,Birthday_Month,Birthday_Day,Country,Yellow_Cards,Yellow_to_Red_Cards,Red_Cards
Jamel Haimoudi,1970,12,10,2,12,-,-
Ravshan Irmatov,1977,8,9,202,14,-,1
Néstor Pitana,1975,6,17,8,8,-,-
Nicola Rizzoli,1971,10,5,93,13,-,-
Cüneyt Çak?r,1976,11,23,193,12,-,-
Jonas Eriksson,1974,3,28,181,10,-,-
Mark Geiger,1974,8,25,199,-,-,-
Björn Kuipers,1973,3,28,133,5,-,-
Pedro Proença,1970,11,3,150,6,-,1
Sandro Ricci,1970,9,28,27,8,1,-
Marco Rodríguez,1973,11,10,123,7,-,1
Carlos Velasco Carballo,1971,3,16,176,8,-,-
Ben Williams,1977,4,14,11,13,1,1
Joel Aguilar,1975,7,2,60,5,1,-
Felix Brych,1975,8,3,73,6,-,1
Noumandiez Doue,1970,9,29,94,5,-,1
Milorad Maži?,1973,3,23,166,3,-,1
Enrique Osses,1974,5,26,40,6,-,-
Wilmar Roldán,1980,1,24,43,5,-,-
Nawaf Shukralla,1976,10,13,15,7,-,-
Carlos Velasco,1976,6,25,58,4,-,-
Howard Webb,1971,7,14,61,9,-,-
Bakary Gassama,1979,2,10,71,2,-,-
Yuichi Nishimura,1972,4,17,96,4,-,-
Peter O'Leary,1972,3,3,135,2,-,-
